order_id,customer_id,product_id,store_id,order_timestamp,quantity,order_status
20260920-AM-0001,239,25,1,2026-09-20 01:06:00,4,Completed
20260920-AM-0002,16,73,2,2026-09-20 15:49:00,1,Completed
20260920-AM-0003,262,49,1,2026-09-20 22:21:00,1,Completed
20260920-AM-0004,92,30,4,2026-09-20 14:50:00,4,Completed
20260920-AM-0005,262,46,3,2026-09-20 20:38:00,3,Completed
20260920-AM-0006,20,51,2,2026-09-20 09:16:00,4,Returned
20260920-AM-0007,214,24,1,2026-09-20 16:24:00,1,Cancelled
20260920-AM-0008,90,28,3,2026-09-20 04:16:00,3,Completed
20260920-AM-0009,252,51,3,2026-09-20 15:21:00,1,Completed
20260920-AM-0010,139,49,3,2026-09-20 21:50:00,2,Completed
20260920-AM-0011,201,38,2,2026-09-20 14:16:00,2,Completed
20260920-AM-0012,267,15,1,2026-09-20 07:25:00,4,Completed
20260920-AM-0013,37,45,1,2026-09-20 02:33:00,3,Returned
20260920-AM-0014,178,69,4,2026-09-20 03:47:00,4,Completed
20260920-AM-0015,253,36,2,2026-09-20 08:08:00,1,Completed
20260920-AM-0016,195,60,4,2026-09-20 18:43:00,2,Completed
20260920-AM-0017,103,39,2,2026-09-20 14:46:00,2,Completed
20260920-AM-0018,13,2,3,2026-09-20 05:36:00,2,Returned
20260920-AM-0019,203,66,2,2026-09-20 00:56:00,4,Completed
20260920-AM-0020,132,36,3,2026-09-20 03:50:00,2,Completed
20260920-AM-0021,195,66,3,2026-09-20 07:39:00,3,Cancelled
20260920-AM-0022,295,57,3,2026-09-20 23:15:00,3,Completed
20260920-AM-0023,46,69,3,2026-09-20 08:44:00,3,Completed
20260920-AM-0024,35,74,1,2026-09-20 08:51:00,4,Completed
20260920-AM-0025,236,50,3,2026-09-20 18:36:00,1,Cancelled
20260920-AM-0026,130,2,3,2026-09-20 08:24:00,3,Completed
20260920-AM-0027,180,20,2,2026-09-20 08:23:00,2,Cancelled
20260920-AM-0028,132,26,3,2026-09-20 04:42:00,3,Completed
20260920-AM-0029,273,26,3,2026-09-20 11:33:00,2,Cancelled
20260920-AM-0030,52,38,3,2026-09-20 01:07:00,1,Completed
20260920-AM-0031,12,54,4,2026-09-20 10:32:00,2,Completed
20260920-AM-0032,269,56,2,2026-09-20 17:00:00,4,Cancelled
20260920-AM-0033,78,12,2,2026-09-20 17:12:00,3,Returned
20260920-AM-0034,26,42,2,2026-09-20 03:13:00,1,Cancelled
20260920-AM-0035,55,23,1,2026-09-20 15:03:00,2,Completed
20260920-AM-0036,136,37,2,2026-09-20 03:02:00,2,Completed
20260920-AM-0037,65,62,2,2026-09-20 14:41:00,2,Completed
20260920-AM-0038,31,25,2,2026-09-20 01:20:00,2,Completed
20260920-AM-0039,206,69,1,2026-09-20 20:33:00,4,Completed
20260920-AM-0040,233,16,3,2026-09-20 05:40:00,4,Completed
20260920-AM-0041,161,22,4,2026-09-20 06:04:00,3,Cancelled
20260920-AM-0042,209,29,2,2026-09-20 13:57:00,3,Completed
20260920-AM-0043,242,67,2,2026-09-20 01:36:00,4,Completed
20260920-AM-0044,242,4,2,2026-09-20 17:05:00,3,Completed
20260920-AM-0045,188,73,4,2026-09-20 03:06:00,1,Completed
20260920-AM-0046,104,34,2,2026-09-20 04:42:00,3,Completed
20260920-AM-0047,139,77,3,2026-09-20 21:04:00,4,Completed
20260920-AM-0048,55,24,4,2026-09-20 03:20:00,1,Completed
20260920-AM-0049,229,58,4,2026-09-20 06:07:00,4,Completed
20260920-AM-0050,211,51,4,2026-09-20 17:02:00,2,Completed
20260920-AM-0051,1,69,1,2026-09-20 00:23:00,4,Completed
20260920-AM-0052,215,48,2,2026-09-20 19:39:00,2,Completed
20260920-AM-0053,190,76,3,2026-09-20 19:21:00,4,Completed
20260920-AM-0054,23,69,2,2026-09-20 14:07:00,4,Completed
20260920-AM-0055,136,78,3,2026-09-20 00:16:00,4,Completed
20260920-AM-0056,27,63,2,2026-09-20 08:57:00,4,Cancelled
20260920-AM-0057,206,30,1,2026-09-20 02:28:00,1,Completed
20260920-AM-0058,47,61,1,2026-09-20 21:36:00,1,Completed
20260920-AM-0059,69,52,2,2026-09-20 07:25:00,2,Cancelled
20260920-AM-0060,295,37,1,2026-09-20 05:58:00,4,Completed
20260920-AM-0061,18,1,3,2026-09-20 19:47:00,3,Cancelled
20260920-AM-0062,150,44,2,2026-09-20 14:36:00,3,Completed
20260920-AM-0063,75,66,3,2026-09-20 14:24:00,3,Completed
20260920-AM-0064,35,19,1,2026-09-20 23:36:00,3,Completed
20260920-AM-0065,138,47,4,2026-09-20 03:14:00,4,Completed
20260920-AM-0066,173,56,1,2026-09-20 07:41:00,4,Completed
20260920-AM-0067,272,14,4,2026-09-20 08:33:00,4,Completed
20260920-AM-0068,249,39,1,2026-09-20 23:05:00,1,Completed
20260920-AM-0069,253,1,2,2026-09-20 01:32:00,2,Completed
20260920-AM-0070,148,60,3,2026-09-20 02:15:00,1,Completed
20260920-AM-0071,188,11,2,2026-09-20 16:19:00,3,Completed
20260920-AM-0072,133,30,4,2026-09-20 08:03:00,2,Cancelled
20260920-AM-0073,239,71,3,2026-09-20 08:19:00,1,Cancelled
20260920-AM-0074,41,61,3,2026-09-20 13:16:00,2,Completed
20260920-AM-0075,172,4,3,2026-09-20 14:56:00,4,Completed
