order_id,customer_id,product_id,store_id,order_timestamp,quantity,order_status
20260920-PM-0001,239,10,2,2026-09-20 22:38:00,4,Completed
20260920-PM-0002,272,57,1,2026-09-20 06:04:00,2,Completed
20260920-PM-0003,183,62,4,2026-09-20 21:19:00,2,Completed
20260920-PM-0004,29,9,2,2026-09-20 21:32:00,2,Completed
20260920-PM-0005,87,72,4,2026-09-20 06:06:00,2,Completed
20260920-PM-0006,90,45,1,2026-09-20 01:18:00,3,Completed
20260920-PM-0007,256,22,2,2026-09-20 12:13:00,4,Cancelled
20260920-PM-0008,48,80,4,2026-09-20 03:36:00,1,Completed
20260920-PM-0009,268,63,3,2026-09-20 15:04:00,1,Completed
20260920-PM-0010,163,46,3,2026-09-20 10:11:00,3,Completed
20260920-PM-0011,74,44,3,2026-09-20 22:43:00,2,Completed
20260920-PM-0012,97,33,2,2026-09-20 18:09:00,1,Completed
20260920-PM-0013,155,39,1,2026-09-20 05:37:00,3,Completed
20260920-PM-0014,181,52,3,2026-09-20 14:06:00,4,Completed
20260920-PM-0015,300,61,2,2026-09-20 01:57:00,1,Completed
20260920-PM-0016,50,55,2,2026-09-20 16:01:00,2,Completed
20260920-PM-0017,247,52,4,2026-09-20 18:23:00,3,Completed
20260920-PM-0018,41,43,4,2026-09-20 14:52:00,4,Completed
20260920-PM-0019,244,71,3,2026-09-20 15:38:00,2,Completed
20260920-PM-0020,14,66,2,2026-09-20 11:08:00,3,Completed
20260920-PM-0021,67,49,1,2026-09-20 09:36:00,4,Completed
20260920-PM-0022,152,15,3,2026-09-20 14:03:00,1,Cancelled
20260920-PM-0023,132,31,1,2026-09-20 01:56:00,4,Completed
20260920-PM-0024,68,23,2,2026-09-20 20:58:00,2,Completed
20260920-PM-0025,193,2,2,2026-09-20 12:38:00,2,Completed
20260920-PM-0026,258,11,4,2026-09-20 01:29:00,4,Completed
20260920-PM-0027,55,7,2,2026-09-20 14:20:00,1,Completed
20260920-PM-0028,261,5,1,2026-09-20 04:05:00,4,Completed
20260920-PM-0029,221,21,1,2026-09-20 08:29:00,2,Cancelled
20260920-PM-0030,255,28,4,2026-09-20 14:03:00,1,Completed
20260920-PM-0031,193,48,3,2026-09-20 19:20:00,2,Completed
20260920-PM-0032,169,77,4,2026-09-20 11:42:00,2,Completed
20260920-PM-0033,18,64,1,2026-09-20 03:05:00,1,Completed
20260920-PM-0034,60,26,2,2026-09-20 01:26:00,1,Completed
20260920-PM-0035,256,47,1,2026-09-20 12:47:00,1,Completed
20260920-PM-0036,265,38,1,2026-09-20 03:17:00,3,Completed
20260920-PM-0037,119,60,1,2026-09-20 16:06:00,4,Completed
20260920-PM-0038,129,40,3,2026-09-20 06:26:00,4,Returned
20260920-PM-0039,39,43,2,2026-09-20 16:29:00,3,Completed
20260920-PM-0040,289,28,1,2026-09-20 21:48:00,1,Completed
20260920-PM-0041,36,76,2,2026-09-20 03:50:00,1,Completed
20260920-PM-0042,288,61,1,2026-09-20 13:11:00,4,Cancelled
20260920-PM-0043,12,3,2,2026-09-20 16:18:00,2,Returned
20260920-PM-0044,196,78,3,2026-09-20 04:15:00,1,Completed
20260920-PM-0045,61,73,1,2026-09-20 00:37:00,2,Completed
20260920-PM-0046,4,36,3,2026-09-20 09:31:00,3,Completed
20260920-PM-0047,259,78,4,2026-09-20 18:41:00,4,Completed
20260920-PM-0048,29,37,2,2026-09-20 03:52:00,1,Completed
20260920-PM-0049,68,64,2,2026-09-20 04:54:00,4,Completed
20260920-PM-0050,248,20,2,2026-09-20 20:07:00,3,Completed
20260920-PM-0051,277,29,3,2026-09-20 14:24:00,2,Completed
20260920-PM-0052,240,38,3,2026-09-20 11:07:00,1,Completed
20260920-PM-0053,5,31,4,2026-09-20 09:35:00,3,Completed
20260920-PM-0054,8,72,4,2026-09-20 23:23:00,3,Completed
20260920-PM-0055,94,41,3,2026-09-20 13:32:00,1,Completed
20260920-PM-0056,129,60,3,2026-09-20 13:27:00,2,Completed
20260920-PM-0057,123,42,2,2026-09-20 23:22:00,1,Completed
20260920-PM-0058,255,76,4,2026-09-20 03:39:00,3,Completed
20260920-PM-0059,11,37,2,2026-09-20 21:22:00,4,Completed
20260920-PM-0060,46,13,2,2026-09-20 03:00:00,3,Completed
20260920-PM-0061,32,28,4,2026-09-20 09:02:00,4,Cancelled
20260920-PM-0062,32,50,4,2026-09-20 06:19:00,2,Completed
20260920-PM-0063,273,4,1,2026-09-20 19:05:00,4,Completed
20260920-PM-0064,5,53,1,2026-09-20 21:40:00,4,Completed
20260920-PM-0065,190,59,4,2026-09-20 20:25:00,2,Completed
20260920-PM-0066,117,67,1,2026-09-20 06:02:00,3,Completed
20260920-PM-0067,283,35,1,2026-09-20 12:23:00,3,Completed
20260920-PM-0068,217,71,3,2026-09-20 02:30:00,3,Cancelled
20260920-PM-0069,176,72,3,2026-09-20 08:41:00,1,Completed
20260920-PM-0070,127,23,2,2026-09-20 00:30:00,2,Completed
20260920-PM-0071,165,16,1,2026-09-20 15:31:00,4,Completed
20260920-PM-0072,250,25,4,2026-09-20 19:48:00,3,Completed
20260920-PM-0073,65,34,3,2026-09-20 17:20:00,2,Completed
20260920-PM-0074,81,45,4,2026-09-20 07:00:00,4,Completed
20260920-PM-0075,235,71,1,2026-09-20 21:14:00,1,Completed
