product_id,product_name,category,unit_price
1,American Max,Groceries,38.46
2,Individual Lite,Groceries,446.49
3,Visit Plus,Fashion,43.04
4,Until Lite,Electronics,720.15
5,Glass Max,Sports,207.13
6,Rock Pro,Home & Kitchen,626.29
7,Economy Plus,Groceries,602.09
8,Appear Max,Fashion,781.2
9,Skill Max,Beauty,29.58
10,May Lite,Beauty,643.77
11,Wife Max,Home & Kitchen,135.77
12,Exist Pro,Beauty,699.01
13,Watch Plus,Fashion,167.66
14,Hotel Plus,Home & Kitchen,251.1
15,Again Max,Fashion,28.69
16,Green Max,Beauty,269.33
17,Television Pro,Home & Kitchen,287.41
18,Student Plus,Sports,785.11
19,Floor Lite,Electronics,101.12
20,Foreign Lite,Fashion,468.67
21,Fast Lite,Electronics,95.64
22,Threat Plus,Home & Kitchen,585.55
23,Million Lite,Beauty,488.9
24,Toward Pro,Beauty,720.61
25,Safe Max,Home & Kitchen,45.07
26,Reveal Plus,Electronics,420.74
27,Billion Max,Home & Kitchen,350.72
28,Trouble Lite,Groceries,257.99
29,Drive Pro,Sports,721.04
30,Center Lite,Sports,332.63
31,First Plus,Sports,243.57
32,Six Max,Fashion,342.15
33,Level Plus,Sports,601.03
34,Staff Max,Groceries,459.59
35,That Plus,Groceries,668.64
36,Full Lite,Home & Kitchen,176.04
37,Exist Lite,Beauty,359.01
38,Shoulder Max,Groceries,383.82
39,Keep Max,Sports,76.99
40,Point Lite,Electronics,656.55
41,Race Max,Sports,255.23
42,Behind Max,Fashion,29.3
43,Cup Max,Beauty,492.91
44,Letter Pro,Beauty,337.41
45,Development Max,Sports,560.12
46,White Plus,Beauty,202.75
47,Than Pro,Electronics,624.95
48,Investment Max,Fashion,645.25
49,Sit Plus,Electronics,450.35
50,Memory Pro,Beauty,115.34
51,Song Plus,Sports,429.59
52,Name Lite,Beauty,494.0
53,Trip Plus,Groceries,362.27
54,Hour Max,Sports,690.58
55,Tend Plus,Home & Kitchen,603.9
56,Arrive Lite,Groceries,392.83
57,Myself Max,Home & Kitchen,357.5
58,Strong Lite,Fashion,224.65
59,Cold Lite,Groceries,73.66
60,Attorney Max,Fashion,312.6
61,Foreign Max,Sports,179.02
62,Security Plus,Beauty,271.4
63,Move Plus,Beauty,59.19
64,International Plus,Beauty,724.82
65,Central Pro,Groceries,310.5
66,Statement Pro,Home & Kitchen,245.9
67,Today Plus,Beauty,435.19
68,Need Max,Beauty,183.34
69,Until Plus,Beauty,32.93
70,Outside Lite,Sports,546.52
71,Air Plus,Sports,140.39
72,Consumer Plus,Fashion,784.77
73,Data Pro,Beauty,477.6
74,Type Pro,Electronics,517.77
75,There Max,Beauty,153.57
76,Deep Lite,Beauty,268.61
77,Third Plus,Home & Kitchen,276.63
78,Article Plus,Home & Kitchen,604.09
79,Enjoy Plus,Home & Kitchen,669.58
80,Alone Plus,Electronics,601.73
