session_id,customer_id,session_timestamp,device_type,pages_viewed,session_duration_seconds
20260920-AM-S00001,81,2026-09-20 10:05:00,Mobile,10,959
20260920-AM-S00002,183,2026-09-20 00:17:00,Tablet,5,293
20260920-AM-S00003,191,2026-09-20 10:32:00,Tablet,7,1418
20260920-AM-S00004,135,2026-09-20 04:51:00,Mobile,1,1800
20260920-AM-S00005,185,2026-09-20 04:47:00,Tablet,14,1122
20260920-AM-S00006,187,2026-09-20 05:19:00,Mobile,9,676
20260920-AM-S00007,181,2026-09-20 23:42:00,Tablet,8,1540
20260920-AM-S00008,192,2026-09-20 17:21:00,Tablet,7,1168
20260920-AM-S00009,228,2026-09-20 01:51:00,Desktop,11,1788
20260920-AM-S00010,83,2026-09-20 07:20:00,Desktop,11,519
20260920-AM-S00011,236,2026-09-20 10:47:00,Desktop,9,562
20260920-AM-S00012,93,2026-09-20 15:00:00,Desktop,4,534
20260920-AM-S00013,4,2026-09-20 22:38:00,Tablet,11,872
20260920-AM-S00014,128,2026-09-20 03:05:00,Desktop,12,998
20260920-AM-S00015,257,2026-09-20 20:10:00,Mobile,6,864
20260920-AM-S00016,160,2026-09-20 02:32:00,Mobile,6,286
20260920-AM-S00017,276,2026-09-20 17:43:00,Mobile,10,184
20260920-AM-S00018,140,2026-09-20 00:44:00,Tablet,2,79
20260920-AM-S00019,238,2026-09-20 23:49:00,Mobile,3,472
20260920-AM-S00020,269,2026-09-20 11:46:00,Tablet,12,1220
20260920-AM-S00021,272,2026-09-20 00:53:00,Tablet,15,906
20260920-AM-S00022,80,2026-09-20 08:40:00,Desktop,2,1156
20260920-AM-S00023,129,2026-09-20 15:04:00,Desktop,10,981
20260920-AM-S00024,77,2026-09-20 19:15:00,Desktop,10,635
20260920-AM-S00025,22,2026-09-20 16:56:00,Tablet,5,1565
20260920-AM-S00026,42,2026-09-20 22:41:00,Tablet,1,1434
20260920-AM-S00027,267,2026-09-20 19:11:00,Tablet,9,744
20260920-AM-S00028,7,2026-09-20 23:27:00,Tablet,4,1107
20260920-AM-S00029,242,2026-09-20 01:04:00,Tablet,7,985
20260920-AM-S00030,33,2026-09-20 06:49:00,Desktop,7,1357
20260920-AM-S00031,56,2026-09-20 01:05:00,Tablet,15,77
20260920-AM-S00032,108,2026-09-20 18:51:00,Desktop,6,1680
20260920-AM-S00033,117,2026-09-20 02:46:00,Desktop,1,678
20260920-AM-S00034,253,2026-09-20 15:21:00,Desktop,12,445
20260920-AM-S00035,15,2026-09-20 06:32:00,Mobile,4,1624
20260920-AM-S00036,58,2026-09-20 08:46:00,Tablet,3,1711
20260920-AM-S00037,213,2026-09-20 21:42:00,Tablet,11,1585
20260920-AM-S00038,294,2026-09-20 09:33:00,Desktop,7,1554
20260920-AM-S00039,94,2026-09-20 17:06:00,Mobile,7,779
20260920-AM-S00040,140,2026-09-20 11:56:00,Mobile,7,61
20260920-AM-S00041,10,2026-09-20 16:12:00,Mobile,6,295
20260920-AM-S00042,119,2026-09-20 13:44:00,Desktop,3,55
20260920-AM-S00043,95,2026-09-20 19:09:00,Desktop,9,425
20260920-AM-S00044,276,2026-09-20 13:21:00,Mobile,2,1296
20260920-AM-S00045,103,2026-09-20 07:40:00,Desktop,7,1067
20260920-AM-S00046,80,2026-09-20 21:35:00,Mobile,8,498
20260920-AM-S00047,83,2026-09-20 22:25:00,Mobile,8,1696
20260920-AM-S00048,69,2026-09-20 17:01:00,Tablet,5,620
20260920-AM-S00049,86,2026-09-20 15:31:00,Tablet,15,1218
20260920-AM-S00050,70,2026-09-20 01:28:00,Mobile,14,373
20260920-AM-S00051,189,2026-09-20 04:37:00,Mobile,4,1163
20260920-AM-S00052,274,2026-09-20 01:47:00,Mobile,15,447
20260920-AM-S00053,86,2026-09-20 23:24:00,Tablet,15,550
20260920-AM-S00054,236,2026-09-20 02:21:00,Mobile,15,1461
20260920-AM-S00055,99,2026-09-20 19:12:00,Tablet,7,700
20260920-AM-S00056,62,2026-09-20 14:56:00,Tablet,13,695
20260920-AM-S00057,123,2026-09-20 04:59:00,Tablet,12,1750
20260920-AM-S00058,148,2026-09-20 18:44:00,Tablet,4,879
20260920-AM-S00059,185,2026-09-20 17:31:00,Desktop,6,650
20260920-AM-S00060,122,2026-09-20 11:04:00,Mobile,4,1318
20260920-AM-S00061,186,2026-09-20 11:42:00,Desktop,11,1357
20260920-AM-S00062,191,2026-09-20 13:28:00,Tablet,3,97
20260920-AM-S00063,2,2026-09-20 21:43:00,Tablet,15,1240
20260920-AM-S00064,276,2026-09-20 18:27:00,Tablet,13,319
20260920-AM-S00065,286,2026-09-20 20:59:00,Mobile,14,654
20260920-AM-S00066,123,2026-09-20 09:46:00,Desktop,7,1014
20260920-AM-S00067,64,2026-09-20 03:48:00,Desktop,4,863
20260920-AM-S00068,259,2026-09-20 03:55:00,Desktop,3,251
20260920-AM-S00069,19,2026-09-20 07:28:00,Mobile,5,1597
20260920-AM-S00070,145,2026-09-20 14:04:00,Desktop,5,1102
20260920-AM-S00071,214,2026-09-20 02:48:00,Desktop,8,195
20260920-AM-S00072,127,2026-09-20 10:22:00,Mobile,2,1589
20260920-AM-S00073,129,2026-09-20 12:23:00,Mobile,6,1545
20260920-AM-S00074,61,2026-09-20 20:44:00,Mobile,14,724
20260920-AM-S00075,3,2026-09-20 06:52:00,Tablet,6,966
20260920-AM-S00076,107,2026-09-20 13:40:00,Tablet,4,1276
20260920-AM-S00077,266,2026-09-20 08:38:00,Mobile,2,896
20260920-AM-S00078,127,2026-09-20 04:37:00,Tablet,5,558
20260920-AM-S00079,252,2026-09-20 00:02:00,Mobile,9,903
20260920-AM-S00080,147,2026-09-20 16:26:00,Tablet,4,1620
20260920-AM-S00081,220,2026-09-20 10:58:00,Mobile,14,852
20260920-AM-S00082,36,2026-09-20 10:29:00,Desktop,7,1107
20260920-AM-S00083,259,2026-09-20 16:06:00,Tablet,13,112
20260920-AM-S00084,167,2026-09-20 21:26:00,Mobile,11,988
20260920-AM-S00085,13,2026-09-20 11:57:00,Tablet,6,263
20260920-AM-S00086,69,2026-09-20 14:45:00,Mobile,3,1048
20260920-AM-S00087,52,2026-09-20 13:44:00,Mobile,10,913
20260920-AM-S00088,105,2026-09-20 02:45:00,Tablet,9,1798
20260920-AM-S00089,147,2026-09-20 11:53:00,Tablet,5,1622
20260920-AM-S00090,289,2026-09-20 19:11:00,Desktop,2,1046
20260920-AM-S00091,256,2026-09-20 12:33:00,Mobile,14,1390
20260920-AM-S00092,87,2026-09-20 18:48:00,Tablet,13,65
20260920-AM-S00093,56,2026-09-20 05:22:00,Mobile,5,1685
20260920-AM-S00094,111,2026-09-20 09:39:00,Desktop,13,75
20260920-AM-S00095,96,2026-09-20 01:06:00,Tablet,4,718
20260920-AM-S00096,116,2026-09-20 04:16:00,Desktop,4,616
20260920-AM-S00097,246,2026-09-20 18:56:00,Tablet,3,544
20260920-AM-S00098,62,2026-09-20 18:15:00,Mobile,5,251
20260920-AM-S00099,151,2026-09-20 10:25:00,Tablet,8,1759
20260920-AM-S00100,24,2026-09-20 08:44:00,Mobile,10,1180
20260920-AM-S00101,52,2026-09-20 06:10:00,Tablet,6,675
20260920-AM-S00102,102,2026-09-20 14:37:00,Desktop,10,1193
20260920-AM-S00103,87,2026-09-20 07:03:00,Desktop,5,591
20260920-AM-S00104,24,2026-09-20 19:38:00,Mobile,6,1379
20260920-AM-S00105,38,2026-09-20 03:13:00,Mobile,14,1160
20260920-AM-S00106,51,2026-09-20 08:33:00,Mobile,2,518
20260920-AM-S00107,38,2026-09-20 07:28:00,Desktop,14,240
20260920-AM-S00108,162,2026-09-20 18:04:00,Mobile,2,678
20260920-AM-S00109,140,2026-09-20 18:02:00,Mobile,7,1192
20260920-AM-S00110,77,2026-09-20 20:50:00,Mobile,5,658
20260920-AM-S00111,228,2026-09-20 06:34:00,Desktop,10,713
20260920-AM-S00112,165,2026-09-20 17:01:00,Tablet,11,451
20260920-AM-S00113,157,2026-09-20 08:28:00,Desktop,12,125
20260920-AM-S00114,114,2026-09-20 05:46:00,Tablet,9,1029
20260920-AM-S00115,266,2026-09-20 21:56:00,Mobile,9,122
20260920-AM-S00116,213,2026-09-20 16:59:00,Desktop,2,206
20260920-AM-S00117,139,2026-09-20 00:28:00,Desktop,13,1247
20260920-AM-S00118,300,2026-09-20 15:57:00,Tablet,13,1181
20260920-AM-S00119,158,2026-09-20 11:58:00,Desktop,7,242
20260920-AM-S00120,144,2026-09-20 12:06:00,Mobile,2,976
20260920-AM-S00121,87,2026-09-20 17:22:00,Tablet,12,1549
20260920-AM-S00122,242,2026-09-20 09:41:00,Desktop,7,1377
20260920-AM-S00123,156,2026-09-20 07:28:00,Tablet,10,1300
20260920-AM-S00124,169,2026-09-20 11:35:00,Mobile,9,966
20260920-AM-S00125,269,2026-09-20 15:40:00,Desktop,2,1017
20260920-AM-S00126,203,2026-09-20 10:46:00,Desktop,13,21
20260920-AM-S00127,5,2026-09-20 10:10:00,Tablet,8,396
20260920-AM-S00128,134,2026-09-20 21:29:00,Tablet,1,1771
20260920-AM-S00129,130,2026-09-20 11:55:00,Mobile,1,1341
20260920-AM-S00130,296,2026-09-20 06:22:00,Tablet,2,1794
20260920-AM-S00131,300,2026-09-20 16:05:00,Mobile,10,379
20260920-AM-S00132,144,2026-09-20 13:37:00,Tablet,13,1452
20260920-AM-S00133,281,2026-09-20 10:40:00,Tablet,4,864
20260920-AM-S00134,82,2026-09-20 01:10:00,Mobile,12,49
20260920-AM-S00135,261,2026-09-20 03:48:00,Desktop,5,1178
20260920-AM-S00136,82,2026-09-20 17:48:00,Mobile,3,411
20260920-AM-S00137,18,2026-09-20 19:33:00,Mobile,2,1760
20260920-AM-S00138,224,2026-09-20 23:39:00,Tablet,1,382
20260920-AM-S00139,19,2026-09-20 01:53:00,Tablet,2,138
20260920-AM-S00140,37,2026-09-20 21:03:00,Desktop,12,932
20260920-AM-S00141,56,2026-09-20 15:45:00,Tablet,11,1692
20260920-AM-S00142,293,2026-09-20 21:39:00,Mobile,12,1072
20260920-AM-S00143,180,2026-09-20 17:03:00,Mobile,13,676
