session_id,customer_id,session_timestamp,device_type,pages_viewed,session_duration_seconds
20260920-PM-S00001,171.0,2026-09-20 23:04:00,Mobile,9,1268
20260920-PM-S00002,236.0,2026-09-20 22:37:00,Mobile,1,1564
20260920-PM-S00003,283.0,2026-09-20 03:01:00,Desktop,10,1153
20260920-PM-S00004,181.0,2026-09-20 10:11:00,Desktop,6,1781
20260920-PM-S00005,184.0,2026-09-20 18:02:00,Tablet,2,46
20260920-PM-S00006,179.0,2026-09-20 06:41:00,Tablet,7,999
20260920-PM-S00007,51.0,2026-09-20 14:55:00,Desktop,6,850
20260920-PM-S00008,295.0,2026-09-20 14:08:00,Tablet,7,515
20260920-PM-S00009,252.0,2026-09-20 02:54:00,Mobile,10,1601
20260920-PM-S00010,108.0,2026-09-20 04:46:00,Mobile,13,1338
20260920-PM-S00011,203.0,2026-09-20 21:51:00,Tablet,3,898
20260920-PM-S00012,222.0,2026-09-20 03:52:00,Tablet,4,538
20260920-PM-S00013,185.0,2026-09-20 04:04:00,Desktop,3,1633
20260920-PM-S00014,137.0,2026-09-20 05:11:00,Mobile,14,1470
20260920-PM-S00015,93.0,2026-09-20 23:27:00,Mobile,14,1741
20260920-PM-S00016,266.0,2026-09-20 19:33:00,Desktop,14,406
20260920-PM-S00017,118.0,2026-09-20 04:55:00,Desktop,1,1540
20260920-PM-S00018,29.0,2026-09-20 08:55:00,Desktop,13,634
20260920-PM-S00019,38.0,2026-09-20 03:34:00,Mobile,12,550
20260920-PM-S00020,252.0,2026-09-20 01:50:00,Mobile,5,404
20260920-PM-S00021,1.0,2026-09-20 11:16:00,Tablet,7,1716
20260920-PM-S00022,186.0,2026-09-20 21:17:00,Desktop,15,548
20260920-PM-S00023,256.0,2026-09-20 00:04:00,Desktop,6,472
20260920-PM-S00024,46.0,2026-09-20 17:52:00,Tablet,10,235
20260920-PM-S00025,98.0,2026-09-20 02:59:00,Tablet,10,1371
20260920-PM-S00026,228.0,2026-09-20 10:25:00,Mobile,13,1676
20260920-PM-S00027,163.0,2026-09-20 04:01:00,Desktop,7,1627
20260920-PM-S00028,98.0,2026-09-20 02:39:00,Desktop,6,1514
20260920-PM-S00029,40.0,2026-09-20 13:42:00,Tablet,13,35
20260920-PM-S00030,91.0,2026-09-20 12:41:00,Mobile,11,174
20260920-PM-S00031,159.0,2026-09-20 10:40:00,Mobile,2,336
20260920-PM-S00032,235.0,2026-09-20 10:40:00,Desktop,1,590
20260920-PM-S00033,57.0,2026-09-20 23:28:00,Tablet,11,1729
20260920-PM-S00034,200.0,2026-09-20 21:15:00,Mobile,3,212
20260920-PM-S00035,76.0,2026-09-20 01:31:00,Mobile,10,1763
20260920-PM-S00036,189.0,2026-09-20 10:22:00,Tablet,3,264
20260920-PM-S00037,238.0,2026-09-20 04:16:00,Tablet,5,1403
20260920-PM-S00038,19.0,2026-09-20 16:25:00,Mobile,13,1205
20260920-PM-S00039,210.0,2026-09-20 13:49:00,Tablet,8,1025
20260920-PM-S00040,45.0,2026-09-20 14:08:00,Desktop,14,231
20260920-PM-S00041,113.0,2026-09-20 20:24:00,Tablet,13,1050
20260920-PM-S00042,239.0,2026-09-20 15:51:00,Mobile,2,470
20260920-PM-S00043,76.0,2026-09-20 12:36:00,Desktop,13,639
20260920-PM-S00044,207.0,2026-09-20 15:57:00,Tablet,13,1592
20260920-PM-S00045,165.0,2026-09-20 12:22:00,Mobile,1,1651
20260920-PM-S00046,11.0,2026-09-20 04:41:00,Mobile,12,570
20260920-PM-S00047,145.0,2026-09-20 10:54:00,Desktop,8,446
20260920-PM-S00048,223.0,2026-09-20 05:40:00,Tablet,15,865
20260920-PM-S00049,243.0,2026-09-20 05:19:00,Desktop,4,159
20260920-PM-S00050,13.0,2026-09-20 11:14:00,Tablet,2,1297
20260920-PM-S00051,277.0,2026-09-20 05:33:00,Mobile,14,1483
20260920-PM-S00052,167.0,2026-09-20 02:29:00,Mobile,14,1144
20260920-PM-S00053,145.0,2026-09-20 05:46:00,Tablet,6,1003
20260920-PM-S00054,153.0,2026-09-20 20:59:00,Tablet,12,1770
20260920-PM-S00055,171.0,2026-09-20 14:21:00,Tablet,14,1492
20260920-PM-S00056,189.0,2026-09-20 20:10:00,Desktop,5,622
20260920-PM-S00057,106.0,2026-09-20 02:19:00,Tablet,15,1168
20260920-PM-S00058,119.0,2026-09-20 11:44:00,Tablet,2,1193
20260920-PM-S00059,104.0,2026-09-20 22:57:00,Tablet,11,1079
20260920-PM-S00060,78.0,2026-09-20 11:24:00,Desktop,7,175
20260920-PM-S00061,256.0,2026-09-20 15:24:00,Mobile,15,500
20260920-PM-S00062,230.0,2026-09-20 06:25:00,Tablet,5,237
20260920-PM-S00063,182.0,2026-09-20 02:59:00,Desktop,12,398
20260920-PM-S00064,265.0,2026-09-20 06:04:00,Tablet,8,995
20260920-PM-S00065,205.0,2026-09-20 00:29:00,Desktop,9,1692
20260920-PM-S00066,66.0,2026-09-20 07:55:00,Mobile,6,801
20260920-PM-S00067,153.0,2026-09-20 14:46:00,Mobile,15,103
20260920-PM-S00068,292.0,2026-09-20 12:33:00,Tablet,4,14
20260920-PM-S00069,118.0,2026-09-20 04:04:00,Tablet,14,1515
20260920-PM-S00070,17.0,2026-09-20 05:06:00,Desktop,9,758
20260920-PM-S00071,199.0,2026-09-20 12:31:00,Desktop,10,625
20260920-PM-S00072,274.0,2026-09-20 15:05:00,Desktop,7,452
20260920-PM-S00073,93.0,2026-09-20 10:24:00,Mobile,11,1190
20260920-PM-S00074,274.0,2026-09-20 10:23:00,Desktop,3,521
20260920-PM-S00075,41.0,2026-09-20 14:33:00,Desktop,12,1792
20260920-PM-S00076,234.0,2026-09-20 10:10:00,Mobile,9,793
20260920-PM-S00077,130.0,2026-09-20 21:01:00,Mobile,1,1569
20260920-PM-S00078,111.0,2026-09-20 00:30:00,Desktop,11,1737
20260920-PM-S00079,232.0,2026-09-20 10:53:00,Desktop,2,410
20260920-PM-S00080,286.0,2026-09-20 17:46:00,Mobile,11,68
20260920-PM-S00081,186.0,2026-09-20 18:37:00,Tablet,11,386
20260920-PM-S00082,4.0,2026-09-20 02:29:00,Desktop,15,1204
20260920-PM-S00083,75.0,2026-09-20 21:55:00,Mobile,6,483
20260920-PM-S00084,90.0,2026-09-20 10:42:00,Desktop,12,1181
20260920-PM-S00085,150.0,2026-09-20 17:50:00,Mobile,11,773
20260920-PM-S00086,45.0,2026-09-20 12:37:00,Mobile,12,1374
20260920-PM-S00087,76.0,2026-09-20 00:42:00,Mobile,3,1792
20260920-PM-S00088,270.0,2026-09-20 15:40:00,Desktop,13,862
20260920-PM-S00089,294.0,2026-09-20 14:09:00,Desktop,4,923
20260920-PM-S00090,210.0,2026-09-20 18:53:00,Desktop,2,1551
20260920-PM-S00091,122.0,2026-09-20 10:07:00,Tablet,5,1259
